 Reference                                                                                                                                                                | Version         | License Type             | License 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------         |                 |                          |                                                                                          
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------|                 |                          |                                                                                          
 AspNetCore.HealthChecks.Aws.S3                                                                                                                                           | 6.0.2           | Apache-2.0               | https://licenses.nuget.org/Apache-2.0                                                    
 AWSSDK.S3                                                                                                                                                                | 3.7.103.36      | Apache-2.0               | http://aws.amazon.com/apache2.0/                                                         
 coverlet.collector                                                                                                                                                       | 1.2.0           | MIT                      | https://licenses.nuget.org/MIT                                                           
 Faker.Net                                                                                                                                                                | 2.0.154         | MIT                      | https://github.com/Kuree/Faker.Net/blob/master/LICENSE                                   
 FluentValidation                                                                                                                                                         | 11.5.1          | Apache-2.0               | https://licenses.nuget.org/Apache-2.0                                                    
 FluentValidation.DependencyInjectionExtensions                                                                                                                           | 11.5.1          | Apache-2.0               | https://licenses.nuget.org/Apache-2.0                                                    
                                                                                                                                                                          |                 |                          |                                                                                          
 ini-parser-netstandard                                                                                                                                                   | 2.5.2           | MIT                      | https://github.com/rickyah/ini-parser/blob/master/LICENSE                                
 Kerberos.NET                                                                                                                                                             | 4.6.4           | MIT                      | https://licenses.nuget.org/MIT                                                           
 Lindhart.Analyser.MissingAwaitWarning                                                                                                                                    | 2.0.0           | MIT                      | https://licenses.nuget.org/MIT                                                           
 MediatR                                                                                                                                                                  | 12.0.1          | Apache-2.0               | https://licenses.nuget.org/Apache-2.0                                                    
 MessagePack                                                                                                                                                              | 2.5.108         | MIT                      | https://licenses.nuget.org/MIT                                                           
 MessagePack.Annotations                                                                                                                                                  | 2.5.108         | MIT                      | https://licenses.nuget.org/MIT                                                           
 MessagePack.Annotations                                                                                                                                                  | 2.5.*           | MIT                      | https://licenses.nuget.org/MIT                                                           
 Microsoft.AspNetCore.Authentication.JwtBearer                                                                                                                            | 6.0.15          | MIT                      | https://licenses.nuget.org/MIT                                                           
 Microsoft.AspNetCore.Http                                                                                                                                                | 2.2.2           | Apache-2.0               | https://raw.githubusercontent.com/aspnet/AspNetCore/2.0.0/LICENSE.txt                    
 Microsoft.AspNetCore.Http.Abstractions                                                                                                                                   | 2.2.0           | Apache-2.0               | https://raw.githubusercontent.com/aspnet/AspNetCore/2.0.0/LICENSE.txt                    
 Microsoft.AspNetCore.Identity.EntityFrameworkCore                                                                                                                        | 6.0.15          | MIT                      | https://licenses.nuget.org/MIT                                                           
 Microsoft.AspNetCore.Mvc.Core                                                                                                                                            | 2.2.5           | Apache-2.0               | https://raw.githubusercontent.com/aspnet/AspNetCore/2.0.0/LICENSE.txt                    
 Microsoft.AspNetCore.Mvc.Testing                                                                                                                                         | 6.0.18          | MIT                      | https://licenses.nuget.org/MIT                                                           
 Microsoft.AspNet.WebApi.Client                                                                                                                                           | 5.2.9           | NET_Library_EULA_ENU.txt | https://www.nuget.org/packages/Microsoft.AspNet.WebApi.Client/5.2.9/License              
 Microsoft.EntityFrameworkCore                                                                                                                                            | 7.0.5           | MIT                      | https://licenses.nuget.org/MIT                                                           
